conferenceId,conferenceUrl,conferenceTitle,conferenceType,conferenceProceedingIds
c0,b55b50b1-aae7-47a7-b042-8aecc930073d,International Conference on Human Factors in Computing Systems,workshop,cp0
c1,2c9ecac6-f875-4a9b-acc2-10bd9f6782df,Technical Symposium on Computer Science Education,mainConference,cp1
c2,c85dfc25-bcef-4719-9997-f41ad334d998,International Symposium on Intelligent Data Analysis,workshop,cp2
c3,a88140cf-3ca8-46c2-b1f7-446f137cf336,Frontiers in Education Conference,mainConference,cp3
c4,d732841e-83f9-49ec-95ca-389e5568634b,Annual Conference on Genetic and Evolutionary Computation,mainConference,cp4
c5,9c1ac4fb-5b0d-4c77-8dd9-fb9b7375be4d,IEEE Symposium on Visual Languages / Human-Centric Computing Languages and Environments,workshop,cp5
c6,42b29bb0-699b-4502-8619-053ee5448d54,Americas Conference on Information Systems,mainConference,cp6
c7,16e8a264-580d-4f0b-ac5a-bba591b2d18d,European Conference on Modelling and Simulation,mainConference,cp7
c8,d22e4663-ebe7-4164-9230-8ad579a735a1,The Compass,mainConference,cp8
c9,bf8c915b-282b-4817-987d-62e47e42d5e1,Pacific Symposium on Biocomputing,mainConference,cp9
c10,07ba6a02-fa13-4c5f-b428-795730d75e53,Big Data,mainConference,cp10
c11,d8ec66ab-0083-4a4d-bf44-ce85d2daad69,Hawaii International Conference on System Sciences,mainConference,cp11
c12,070a8b94-9234-4a39-bff0-23e0c6b74464,International Conference on Statistical and Scientific Database Management,mainConference,cp12
c13,770f1d88-52c2-43dc-a897-6881e70b2f32,International Conference on Data Science and Advanced Analytics,mainConference,cp13
c14,440bcee8-1bdc-4957-a227-182d81a49740,International Conference on Exploring Services Science,workshop,cp14
c15,46990654-eb6c-4674-96bc-ba905dab2a86,International Conference on Conceptual Structures,mainConference,cp15
c16,a0edb93b-1e95-4128-a295-6b1659149cef,Knowledge Discovery and Data Mining,mainConference,cp16
c17,4a8bbf74-8b02-49b1-ad58-836790bbc79f,International Conference on Enterprise Information Systems,workshop,cp17
c18,528ced1f-e949-4e1a-8fee-2ffbf0be551d,Conference on Innovative Data Systems Research,mainConference,cp18
c19,3c2dd17d-6c11-4bb6-9d01-1fc2064cb8df,ACM Conference on Economics and Computation,mainConference,cp19
c20,84cc6785-24f2-48e0-a7a0-e2c86d22239d,Research Conference of the South African Institute of Computer Scientists and Information Technologists,mainConference,cp20
c21,e4e999b7-2be0-4bd0-ad3b-7afd3fe50a4d,Grid Computing Environments,mainConference,cp21
c22,dea8d7a8-c89e-4de9-bde3-0787594a055f,International Conference on Data Technologies and Applications,mainConference,cp22
c23,14d0272a-18b8-4a25-834b-cf3b120b226f,International Conference on Open and Big Data,workshop,cp23
c24,9c119da6-ab17-4403-854e-786882dbf352,Decision Support Systems,mainConference,cp24
c25,3bc59e53-8413-4f2a-b739-d2b155898833,International Conference on Contemporary Computing,mainConference,cp25
c26,44350957-4538-46db-9957-ea88ec69a126,PS,mainConference,cp26
c27,5545566b-c0b8-418c-83a5-a986a4657572,ACM-SIAM Symposium on Discrete Algorithms,mainConference,cp27
c28,60b80922-affe-43da-9644-a58a8d98c1de,International Conference on Collaboration Technologies and Systems,workshop,cp28
c29,a36dc29e-4ea1-4567-b0fe-1c06daf8bee8,International Conference on Software Engineering,mainConference,cp29
c30,5f087f3f-d96b-4da6-8049-604ac2349c44,IEEE Aerospace Conference,workshop,cp30
c31,b24455f0-c8b2-4062-8397-1dc279bf6407,International Conference on Evaluation & Assessment in Software Engineering,mainConference,cp31
c32,4a63d235-b8de-41aa-b5f7-b28efb66f736,International Conference on Software Technology: Methods and Tools,mainConference,cp32
c33,75ef5c3a-ff34-47cf-bfce-93c95be12dbc,International Conference on Agile Software Development,mainConference,cp33
c34,d7907408-25bc-4816-a81d-4e0f2f6482c8,IEEE Working Conference on Mining Software Repositories,workshop,cp34
c35,73df6053-f5c6-46a6-aefc-8a109c2edd9d,EUROMICRO Conference on Software Engineering and Advanced Applications,mainConference,cp35
c36,b4e3823a-0399-4dd3-9c4a-4d71630488df,Conference on Software Engineering Education and Training,mainConference,cp36
c37,8bcdbd50-f829-4fb4-ab17-bf6bffa1c5a5,Asia-Pacific Software Engineering Conference,mainConference,cp37
c38,d8655d54-1311-417a-91f7-c5c6daf8fba2,"IEEE International Conference on Software Analysis, Evolution, and Reengineering",mainConference,cp38
c39,1a10675c-27fc-4adb-a1e9-5d2c6e4ab2b2,International Conference on Global Software Engineering,mainConference,cp39
c40,b02cf974-33be-46bd-9cbc-022db6cb7151,IEEE International Conference on Software Maintenance and Evolution,mainConference,cp40
c41,024e52c4-afc1-4fb0-bd00-b6cee83d5078,Software Product Lines Conference,mainConference,cp41
c42,f2e4c9ec-928d-4753-9670-3d8d697d884c,Joint Conference of International Workshop on Software Measurement and International Conference on Software Process and Product Measurement,mainConference,cp42
c43,d80d58be-58fc-4181-a397-5ac6fd976a47,ACM Symposium on Applied Computing,mainConference,cp43
c44,f79f1a50-a0fc-4ebc-bcb2-eacde9097cf6,International Workshop on Green and Sustainable Software,mainConference,cp44
c45,31c33453-53a3-4cfe-ac36-45a59be18d0c,"IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies",mainConference,cp45
c46,24d0f36f-58ab-4957-adaa-50ca6e4a969e,Brazilian Symposium on Software Engineering,mainConference,cp46
c47,9d988347-1c3c-4cf9-9b6f-d15117510bf4,International Symposium on Empirical Software Engineering and Measurement,workshop,cp47
c48,82901c74-dc2e-4d08-b633-637c7e209284,"Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",workshop,cp48
c49,9731af5c-6695-4c2a-b6b6-05100fe3e3fd,International Symposium on Search Based Software Engineering,mainConference,cp49
c50,1c2ab05c-7d69-465e-929d-0920857aedce,International Conference on Automated Software Engineering,mainConference,cp50
c51,ca2cf7d7-0fd9-4338-b72f-48b0a5d6412c,Conference of the Centre for Advanced Studies on Collaborative Research,mainConference,cp51
c52,bcd68420-ac01-430f-9e9d-3fc97a84e386,Workshop on Learning from Authoritative Security Experiment Results,workshop,cp52
c53,336e2706-61ed-4bc5-97a6-3df713fc01c2,International Conference on Software Engineering and Knowledge Engineering,workshop,cp53
c54,c32854ee-c56b-4ecc-9c6f-c2d1f9acf480,International Workshop on Agent-Oriented Software Engineering,mainConference,cp54
